,img_name,question,h,r,t,answer,fold
3641,120207820220803181759.jpg,이미지 속 척삭동물의 이름은 뭘까?,Dromedary,phylum,Chordate,arabian camel,2.0
3642,130701120220803174721.jpg,이미지 속 긴장을 푸는 용도로 사용되는 것은 뭐야?,a rocking chair,UsedFor,relax in,rocking chair,2.0
3643,110101720220620175714.jpg,이미지 내 바이올린은 무슨 악기에 속해?,Violin,subject,Chordophone,Chordophone,2.0
3644,161300220220916182331.jpg,이미지 속 바다에 있는 부서진 배를 뭐라고 해?,sea,RelatedTo,ocean,shipwreck,2.0
3645,120104020220824161635.jpg,이미지 속 타이의 곤충을 뭐라고 해?,Asian giant hornet,subject,thai_insect,asian giant hornet,2.0
3646,122000220220707183733.jpg,거머리는 무슨 동물일까?,Leech,phylum,Annelid,Annelid,2.0
3647,120210620220907173343.jpg,이미지 속 목초지에 있는 장비목을 뭐라고 하지?,cow pasture,IsA,pasture,indian elephant,2.0
3648,141800820220727111959.jpg,이미지 안 토란의 과는 무엇이니?,Taro,family,Araceae,Araceae,2.0
3649,120400120220624165808.jpg,이미지 내 척삭동물에 속하는 동물은 뭐야?,Turtle,phylum,Chordate,turtle,2.0
3650,115201120220906165223.jpg,이미지 속 프랑스의 발명품은 뭘까?,Braille,subject,French invention,braille,2.0
3651,120209120220802111755.jpg,이미지 속 목양견은 무엇이니?,Welsh Corgi,subject,Herding dog,pembroke,2.0
3652,115000420220719161903.jpg,이미지 속 잉글랜드의 요리는 무엇일까?,Fish and chips,subject,English cuisine,Fish and chips,2.0
3653,140800620220708180418.jpg,이미지 속 덩굴식물은 무엇에 속해?,Grape,subject,Vine,Vitaceae,2.0
3654,110101020220810182836.jpg,이미지에 있는 하프의 음역은 몇 이야?,Harp,range,150 (number),150 (number),2.0
3655,122500320220721165751.jpg,설치류에 해당하는 비버는 무엇에 포함할까?,Beaver,class,Mammal,a mammal,2.0
3656,117500120220920112451.jpg,이미지 속 소리 저장 매체에 포함되는 것은 뭐야?,CD-ROM,subject,sound_storage_medium,CD-ROM,2.0
3657,134201020220725175000.jpg,이미지 속 스코틀랜드의 발명품은 뭐야?,Postage stamp,subject,scotland_invention,postage stamp,2.0
3658,130601520220803162206.jpg,이미지 속 접시를 잡고 있는 사람의 강은 무엇일까?,Human,class,Mammal,a mammal,2.0
3659,112300120220707105207.jpg,이미지 속 모노레일은 어느 나라의 발명품일까?,Monorail,subject,russian invention,russia,2.0
3660,150102120220718132805.jpg,이미지 속 단체 경기의 이름은 무엇일까?,Water polo,subject,Team sport,water polo,2.0
3661,120206520220905102033.jpg,이미지 속 동물의 상과는 뭐지?,Sifaka,kingdom,Animal,Lemur,2.0
3662,110101720220620173921.jpg,이미지 내 바이올린의 음역은 몇이야?,Violin,range,135 (number),135 (number),2.0
3663,130500620220811164032.jpg,이미지 안에 악수를 할 수 있는 직비원류는 무엇일까?,Human,suborder,Haplorhini,people,2.0
3664,131000320220628160231.jpg,이미지 속 가전제품에 해당하는 것은 뭐지?,Remote control,subject,Home appliance,a remote control,2.0
3665,110102020220801150920.jpg,척삭동물에 해당하는 사람의 상과는 뭘까?,Human,phylum,Chordate,ape,2.0
3666,120203920220707165756.jpg,이미지 속 포유강 소목에 해당하는 동물은 뭐야?,Deer,class,Mammal,deer,2.0
3667,120201720220823143010.jpg,이미지에서 한국의 포유류에 속하는 것은 뭘까?,Amur hedgehog,subject,List of mammals of Korea,hedgehog,2.0
3668,122202020220905172311.jpg,이미지 속 척삭동물에 해당하는 것은 뭐야?,Anserini,phylum,Chordate,wild goose,2.0
3669,121700120220707150458.jpg,이미지 내 순각류는 무엇에 해당하는 동물이야?,Centipede,subphylum,Myriapoda,Myriapoda,2.0
3670,151900120220824133816.jpg,이미지 내 올림픽 경기 종목은 뭐야?,Cycle sport,subject,Olympic sports,bicycle race,2.0
3671,112400220220707105818.jpg,이미지에서 발레는 어느 나라의 외래어지?,Ballet,subject,French origin_loan language,France,2.0
3672,122201120220810141701.jpg,이미지 속 거위는 무슨 과에 해당하는 동물일까?,Domestic goose,subject,Anatidae,Anatidae,2.0
3673,121300120220707142530.jpg,이미지 속 가축은 어느 강에 속해?,Donkey,subject,Livestock,a mammal,2.0
3674,134900120220920182331.jpg,이미지 안 사슬 갑옷을 뭐라고 할까?,brigandine,IsA,chain mail,chain mail,2.0
3675,114800920220719163802.jpg,이미지 속 유타 주의 상징인 것은 뭐야?,Western honey bee,subject,Utah_Caution_Symbol,Western honey bee,2.0
3676,113100320220718144103.jpg,이미지 안 다코야끼 안에 들어가는 해산물은 뭘까?,takoyaki,RelatedTo,octopus,an octopus,2.0
3677,120400220220627112501.jpg,이미지 속에서 척추동물에 해당하는 뱀은 어디에 속하니?,Snake,class,Reptile,a reptile,2.0
3678,110100520220620160410.jpg,이미지 속 드럼 세트는 어떤 악기라고 할 수 있어?,Drum kit,subject,Membranophone,Membranophone,2.0
3679,140800320220711135715.jpg,이미지에서 담쟁이덩굴은 무엇에 해당하는 식물일까?,Parthenocissus tricuspidata,unclassified_phylum,Flowering plant,ia genus,2.0
3680,132000420220708105332.jpg,이미지 내 문방구에서 구입할 수 있는 물품은 뭐야?,Drawing pin,subject,Stationery,a tack,2.0
3681,110700620220706145149.jpg,이미지에서 음식을 판매하는 곳은 어디일까?,a grocery store,UsedFor,selling food,a grocery store,2.0
3682,122201520220810180600.jpg,이미지 안 날지 못하는 새를 뭐라고 해?,Common ostrich,subject,Flightless bird,ostrich,2.0
3683,134102620220725154613.jpg,제단화는 어떤 종교의 미술과 관련 있니?,Altarpiece,subject,Christian art,christianity,2.0
3684,150100820220712181324.jpg,이미지 속 유인원과 영장류에 속한 동물은 뭐야?,Human,subject,Ape,people,2.0
3685,110200520220621175727.jpg,이미지 내 피자는 어느 나라 요리니?,Pizza,subject,Italian cuisine,italy,2.0
3686,130501420220816170652.jpg,이미지에서 파도 타기를 위한 스포츠 장비는 무엇이니?,Surfboard,subject,sports_equipment,surfboard,2.0
3687,130601620220803104854.jpg,이미지 내 다리를 서는 용도로 사용하는 영장류는 뭘까?,Human,order,Primate,people,2.0
3688,141201320220711135127.jpg,이미지 속 진달래는 어떤 식물에 속하니?,Rhododendron mucronulatum,subject,Gardening_Plants,horticulture,2.0
3689,120202220220822164327.jpg,이미지 속 동물의 목은 무엇에 해당하니?,Tree squirrel,kingdom,Animal,rodents,2.0
3690,120209020221004130854.jpg,이미지 안 영국의 개 품종에 해당하는 것은 뭐야?,Yorkshire Terrier,subject,british_dog_breeds,yorkshire terrier,2.0
3691,122300320220913112455.jpg,이미지 속 채소의 미분류문은 뭘까?,Potato,subject,Vegetable,ia genus,2.0
3692,142001020220727153408.jpg,이미지에서 가래나무과에 속하는 견과류는 뭘까?,Walnut,subject,Juglandaceae,walnut,2.0
3693,121000320220809171331.jpg,이미지 속 동물의 문은 뭐야?,Sea cucumber,kingdom,Animal,echinoderm,2.0
3694,120207720220803145216.jpg,사람의 문은 뭐야?,Human,phylum,Chordate,chordate,2.0
3695,211301120220831135231.jpg,이미지 내 도기는 어느 나라의 문화와 관련 있을까?,Onggi,subject,pottery,Korea,2.0
3696,120201320220623155148.jpg,이미지 속에 있는 사자는 거대동물이면서 어떤 동물이라고 부르니?,Lion,subject,Megafauna,cleaning,2.0
3697,110201120220714152832.jpg,이미지 속 프랑스 요리는 뭐야?,French fries,subject,French cuisine,French fries,2.0
3698,130302920220715144126.jpg,이미지 안 사람은 무엇에 해당되는 동물이야?,Human,superorder,Euarchontoglires,Euarchontoglires,2.0
3699,160200220220822151431.jpg,이미지 속 탈것에 해당하는 것은 뭐야?,Car,subject,Vehicle,an automobile,2.0
3700,110700620220928141905.jpg,이미지 내 슈퍼마켓에 있는 유인원은 무엇일까?,Human,superfamily,Ape,people,2.0
3701,120400320220627130347.jpg,이미지 속 한국의 파충류는 뭐야?,Scincella vandenburghi,subject,List of reptiles of Korea,lizard,2.0
3702,130601720220803135656.jpg,이미지 속 스포츠 신발은 무엇이니?,Athletic shoe,subject,sports_shoes,running shoe,2.0
3703,120202120220623162209.jpg,스컹크는 무슨 동물에 속하지?,Mephitidae,order,Carnivora,Carnivora,2.0
3704,210501420221114145047.jpg,이미지에 보이는 전라북도의 보물은 뭐야?,Gimje_Gwisinsa_Daejeokgwangjeon,subject,Treasure of Jeollabuk-do,Gimje ghosts,2.0
3705,110300120220817143531.jpg,이미지에서 다리를 서는 용도로 사용하는 척추동물은 무엇일까?,Human,subphylum,Vertebrate,people,2.0
3706,120207720220803152140.jpg,이미지 안 영장류에 속하고 척삭동물에 포함되는 동물은 뭐지?,Baboon,order,Primate,baboon,2.0
3707,120201920220822142743.jpg,이미지에서 식육목에 속하는 척삭동물은 뭘까?,Red panda,order,Carnivora,red panda,2.0
3708,110201020220810185110.jpg,이미지 속 영국 요리는 뭐야?,Sandwich,subject,British cuisine,sandwiches,2.0
3709,141900220220727154213.jpg,이미지 속 열매채소는 뭐야?,Eggplant,subject,Vegetable,eggplants,2.0
3710,120101220220818152607.jpg,이미지 속 메뚜기는 무엇의 사막과 관련된 동물일까?,Caelifera,subject,africa desert,africa,2.0
3711,141900120220727150333.jpg,이미지 안의 열대 과일은 무엇이니?,Soursop,subject,Tropical fruit,annona muricata,2.0
3712,120206720220721120142.jpg,이미지 내 영장류가 속한 아목은 뭘까?,Lemur,order,Primate,Strepsirrhini,2.0
3713,120800220220624144540.jpg,이미지 안의 애완동물을 뭐라고 부를까?,Goldfish,subject,Pet,goldfish,2.0
3714,120210720220913135525.jpg,이미지 속 미국의 상징은 뭘까?,Brown bear,subject,symbol of the United States (Alaska),great bear,2.0
3715,120100320220622155115.jpg,이미지 안에서 곤충과 동물에 모두 속하는 것은 뭐지?,Butterfly,class,Insect,butterfly,2.0
3716,141600120220712152846.jpg,이미지에서 미나리과에 속하는 식물은 무엇이니?,Coriander,subject,Apiaceae,coriander,2.0
3717,132901520220824135906.jpg,이미지에서 고대 그리스 문화와 관련된 모자는 무엇이니?,Petasos,subject,ancient_greece_culture,Petasos,2.0
3718,140100120220830163510.jpg,이미지 안 배나무아과에 해당하는 것은 뭘까?,Apple,subfamily,Maleae,apples,2.0
3719,140201120220718174419.jpg,장미군에 해당하는 양배추는 무엇에 속해?,Cabbage,order,Brassicales,Brassicales,2.0
3720,120100820220707104608.jpg,이미지 속 절지동물은 무엇에 속해?,Moth,order,Lepidoptera,lepidoptera,2.0
3721,110102020220801144704.jpg,이미지에서 영장상목에 속하는 동물은 뭐지?,Human,kingdom,Animal,people,2.0
3722,120200120220822171823.jpg,이미지 안에 있는 거대동물은 어떤 목에 속하니?,Antelope,subject,Megafauna,Artiodactyla,2.0
3723,130400220220810114449.jpg,이미지 속 프랑스의 발명품에 해당하는 것은 뭐니?,Stethoscope,subject,French invention,stethoscope,2.0
3724,122200220220708101539.jpg,이미지 내에서 까마귀는 어떤 동물이라고 해?,Eastern carrion crow,subject,Scavenger,cleaning,2.0
3725,110200820220810174904.jpg,이미지 속 캐나다의 요리는 뭐가 있어?,Doughnut,subject,Canadian cuisine,doughnut,2.0
3726,141401820220727104416.jpg,이미지 내 속씨식물의 미분류목은 뭘까?,Papaver rhoeas,order,Ranunculales,Ranunculales,2.0
3727,120200920220822170319.jpg,이미지 속 설치류에 속하는 동물은 무엇이지?,Hamster,kingdom,Animal,hamster,2.0
3728,132303520220926101734.jpg,이미지 속 상품이 있는 기계는 뭘까?,vending machine,RelatedTo,machine,a vending stand,2.0
3729,160202620220919103312.jpg,이미지에서 스쿠터와 관계된 것은 무엇이니?,scooter,RelatedTo,moped,moped,2.0
3730,122203220220802114152.jpg,코뿔새의 상목은 뭘까?,Hornbill,superorder,Neoaves,Neoaves,2.0
3731,120209020220802145805.jpg,이미지 안 다리로 서 있는 영국의 개 품종이 뭐지?,Yorkshire Terrier,subject,british_dog_breeds,yorkshire terrier,2.0
3732,180600220220920111609.jpg,이미지 속 해군기는 어느 나라의 상징이야?,Flag of the Netherlands,Usage,Naval ensign,netherland,2.0
3733,140401120220711110717.jpg,이미지 속 게놈 해독이 완료된 식물은 무엇에 해당되니?,Maize,subject,Panicoideae,Panicoideae,2.0
3734,120210720220913132741.jpg,이미지 속 미국의 상징인 포유류는 무엇일까?,Brown bear,subject,symbol of the United States (Alaska),great bear,2.0
3735,160202420220921161637.jpg,이미지에서 궤도 교통과 관련 있는 것은 뭐야?,Tram,subject,orbit_traffic,streetcar,2.0
3736,120204520220809180810.jpg,이미지 속 콩고 민주 공화국의 상징인 동물은 뭐야?,Leopard,subject,The_Symbol_of_Democratic_Republic of the Congo,leopard,2.0
3737,120800820220715145217.jpg,이미지에서 고등어과에 해당하는 해산물은 뭐야?,Tuna,subject,Scombridae,tuna,2.0
3738,150101320220712175613.jpg,이미지 속 단체 경기는 어느 나라의 스포츠니?,Korfball,subject,Team sport,netherland,2.0
3739,131800420221025144827.jpg,이미지 속 미술 재료에 해당하는 것은 뭐야?,Sketchbook,subject,art_material,sketchbook,2.0
3740,110201320220714173803.jpg,이미지 속 십자화과에 속하는 식물은 뭐야?,Cabbage,family,Brassicaceae,cabbage,2.0
3741,132303520220926103843.jpg,이미지 속 동전 투입구가 있는 기계를 뭐라고 불러?,coin slot,PartOf,vending machine,a vending stand,2.0
3742,122200820220810181602.jpg,이미지 속 매목에 해당하는 동물은 뭐야?,Peregrine falcon,kingdom,Animal,falcon,2.0
3743,110700620220928135526.jpg,음식을 판매하는 이미지 속 슈퍼마켓을 뭐라고 해?,a grocery store,UsedFor,selling food,a grocery store,2.0
3744,210500220221018130255.jpg,이미지 속 공주시의 문화재는 면적이 몇 제곱미터일까?,communism,area,371621.0,3716210,2.0
3745,180400120220915170108.jpg,광장 이미지에 있는 독일의 상징은 뭐야?,plaza,IsA,mercantile establishment,brandenburg gate,2.0
3746,120210420220907154204.jpg,이미지 속 산에 있는 포유류는 뭘까?,mountain,RelatedTo,hill,american black bear,2.0
3747,141201620220726172619.jpg,개망초속에 해당하는 개망초의 아과는 무엇일까?,Erigeron annuus,genus,Erigeron,Asteroideae,2.0
3748,110101020220811131957.jpg,이미지 안 음역이 150인 현명악기는 뭘까?,Harp,subject,Chordophone,harp,2.0
3749,151000220220713135506.jpg,래프팅은 무엇에 속할까?,Rafting,subject,List of water sports,water sport,2.0
3750,140800320220711131047.jpg,이미지 안의 나무는 어떤 미분류목에 속하지?,Parthenocissus tricuspidata,subject,Tree,Rosids,2.0
3751,161000220220714154528.jpg,이미지 안 텀프트럭은 무엇에 해당할까?,Dump truck,subject,Truck,Truck,2.0
3752,120208320220802171144.jpg,이미지 내 물소의 강은 무엇이지?,Water buffalo,class,Mammal,a mammal,2.0
3753,161300120221006150645.jpg,이미지 속 새는 어느 나라의 겨울철새니?,Common gull,subject,winter migratory birds in Korea,Korea,2.0
3754,110700620220928162622.jpg,이미지에 판매를 위한 음식 저장을 위한 용도로 사용하는 것은 무엇일까?,a grocery store,UsedFor,storing food for sale,Grocery store,2.0
3755,111400120220706153145.jpg,이미지 속 고대 그리스의 상징은 뭐야?,Laurel wreath,subject,Ancient Greece,bayburt,2.0
3756,130302420220826104243.jpg,이미지 속 안전 장비는 뭐지?,Personal flotation device,subject,safety_equipment,life jacket,2.0
3757,110102620220729170815.jpg,이미지 속 가톨릭 전례용품은 뭐야?,Bell,subject,Catholic_liturgical items,specie,2.0
3758,140801220220726153542.jpg,이미지 내 쥐방울덩굴속의 미분류강은 뭘까?,Aristolochia,unclassified_class,Magnoliids,Magnoliids,2.0
3759,141501820220727143858.jpg,이미지에 있는 식물이 속하는 과는 무엇이지?,Chenopodium album,kingdom,Plant,Amaranthaceae,2.0
3760,114800820220719162529.jpg,이미지 속 카메라와 관련 있는 직업은 뭐야?,Photographer,subject,Job,Photographer,2.0
3761,150102120220718135231.jpg,이미지 속 수구는 무슨 경기 종목에 해당할까?,Water polo,subject,Olympic sports,olympics,2.0
3762,170600420220811173319.jpg,이미지 속 빙설 현상은 뭐야?,Hail,subject,Ice and snow_phenomenon,Hail,2.0
3763,180100320220919104257.jpg,이미지 속의 인도네시아 요리는 뭘까?,curry,RelatedTo,indonesian cuisine,curry,2.0
3764,130201620220802172749.jpg,이미지 속 맥주 문화와 관련 있는 것은 뭐가 있어?,Beer glassware,subject,beer_culture,beer glass,2.0
3765,110200920220810170739.jpg,이미지 안에 있는 멕시코 요리는 뭐니?,Cake,subject,Mexican cuisine,cakes,2.0
3766,120101420221019143716.jpg,이미지 안 식육아목에 해당하는 것은 무슨 목에 속할까?,Cybister chinensis,order,Beetle,coleoptera,2.0
3767,130500220220809185133.jpg,이미지에서 다리를 서는 용도로 사용하는 건 뭐야?,a leg,UsedFor,stand,people,2.0
3768,110200320220621151610.jpg,이미지 속 미국 요리는 뭐니?,Hamburger,subject,American cuisine,hamburgers,2.0
3769,133300520220722142009.jpg,이미지 안 도로에 사용하는 석유 제품은 뭐야?,Rock asphalt,subject,Road,asphalt,2.0
3770,141900220220727153636.jpg,이미지 속 열매채소를 뭐라고 부르지?,Eggplant,subject,Vegetable,eggplants,2.0
3771,141000220220711150914.jpg,이미지 안 속씨식물에 해당하는 식물은 뭐야 ?,Flax,unclassified_phylum,Flowering plant,flax,2.0
3772,120204520220809163116.jpg,이미지에서 다리를 서는 용도로 사용하는 베냉의 상징은 무엇일까?,Leopard,subject,symbol of Benin,leopard,2.0
3773,120700120220624134041.jpg,이미지 속 자포동물에 속하는 동물은 뭐야?,Jellyfish,phylum,Cnidaria,jellyfish,2.0
3774,111800520220706150836.jpg,이미지 속 유제품에 속하는 식품은 뭐라고 불러?,milk,subject,Dairy product,milk,2.0
3775,120100420220818110709.jpg,이미지에 있는 잠자리의 문은 무엇일까?,Odonata,phylum,Arthropod,arthropod,2.0
3776,122600320220901170112.jpg,이미지 속 동물은 어느 아강에 속할까?,Nautilus,kingdom,Animal,Nautiloid,2.0
3777,113000120220718163732.jpg,이미지 속 혈액학과 관련 있는 것은 뭐니?,Blood donation,subject,Hematology,blood donation,2.0
3778,120203220220812160557.jpg,영장류에 속하는 고릴라의 문은 뭘까?,Gorilla,order,Primate,chordate,2.0
3779,130501020220627174537.jpg,이미지 내의 유인원에 해당하는 사람은 어디에 속하니?,Human,superfamily,Ape,vertebrate,2.0
3780,151900120220824132803.jpg,이미지 내 올림픽 경기 종목은 뭘까?,Cycle sport,subject,Olympic sports,bicycle race,2.0
3781,140201120220718175016.jpg,양배추는 무엇에 속하는 식물일까?,Cabbage,order,Brassicales,Brassicales,2.0
3782,131801120220922162952.jpg,이미지 속 실내 장식은 뭐야?,lever hang,IsA,hang,picture frame,2.0
3783,120208720220802132932.jpg,이미지에서 개과에 속하는 동물은 뭐지?,Dhole,subject,Canidae,dhole,2.0
3784,150102120220718132705.jpg,이미지 속 수구는 무슨 스포츠일까?,Water polo,subject,List of water sports,prime minister,2.0
3785,122600320220901170446.jpg,이미지 내 두족류에 해당하는 연체동물은 뭐니?,Nautilus,class,Cephalopod,nautilidae,2.0
3786,131901220220708102255.jpg,터키옥은 무엇에 속하니?,Turquoise,subject,Gemstone,gems,2.0
3787,120600420220720151130.jpg,고설류에 해당하는 우렁이의 문은 뭐야?,Viviparidae,subject,Architaenioglossa,mollusk,2.0
3788,121000120220830165322.jpg,이미지 속 띠 모양으로 분포하는 기수의 대표적인 생물은 뭐니?,Balanidae,order,disease-free,balanidae,2.0
3789,120800220220624145105.jpg,이미지 속 애완동물은 어떤 강에 속할까?,Goldfish,subject,Pet,Actinopteri,2.0
3790,122203520220804115950.jpg,다리를 서는 용도로 사용하는 것은 뭐니?,a leg,UsedFor,stand,Spot-billed pelican,2.0
3791,150101220220712172517.jpg,이미지의 사람은 무슨 동물일까?,Human,subphylum,Vertebrate,vertebrate,2.0
3792,140600920220711142047.jpg,이미지 안 씀바귀는 어떤 식물일까?,Ixeridium dentatum,subfamily,Cichorioideae,Cichorioideae,2.0
3793,120208220220802155442.jpg,멧돼지는 어떤 문에 속하는 동물이니?,Wild boar,kingdom,Animal,chordate,2.0
3794,141901320220727174907.jpg,이미지 내 약용식물의 미분류목은 뭐지?,Papaya,subject,Medicinal plants,Rosids,2.0
3795,110500920220801115422.jpg,이미지 안 척삭동물의 강은 뭘까?,Dog,class,Mammal,a mammal,2.0
3796,180900220220915172329.jpg,이미지에서 뉴욕 주의 지형에 해당하는 곳은 어디일까?,Niagara Falls,subject,new york_state_topography,niagara falls,2.0
3797,122203420220803170717.jpg,기러기목에 속하는 척삭동물은 뭐지?,Black swan,order,Anseriformes,black swan,2.0
3798,122202220220905162025.jpg,이미지 속 새가 해당하는 목은 무엇이니?,Black-faced spoonbill,class,Bird,Pelecaniformes,2.0
3799,120207820220803165712.jpg,단봉낙타의 문은 뭐야?,Dromedary,phylum,Chordate,chordate,2.0
3800,110101020220811133140.jpg,이미지 속 아일랜드의 상징에 포함되는 것은 뭘까?,Harp,subject,ireland's symbol,harp,2.0
3801,120400720220720160813.jpg,이미지 속 독사에 해당하는 동물을 뭐라고 하지?,Mamushi,subject,Venomous snake,Mamushi,2.0
3802,133100820220722150520.jpg,이미지 안 피아노는 어느 나라의 발명품일까?,Piano,subject,italian invention,italy,2.0
3803,161300220220916162738.jpg,사고와 관계있는 이미지 내의 부서진 배는 뭘까?,wreck,RelatedTo,accident,shipwreck,2.0
3804,120200920220623161300.jpg,이미지 속의 쥐아목에 해당하는 햄스터는 어디에 속할까?,Hamster,order,Rodent,rodents,2.0
3805,110102320220801173629.jpg,이미지 속 가톨릭 전례용품인 기명악기는 뭐야?,Organ (music),subject,Aerophone,organ,2.0
3806,110500620220729112852.jpg,다리로 서있는 사람의 목은 뭐니?,Human,order,Primate,a primate,2.0
3807,211301120220906121551.jpg,이미지 속 도기는 어느 나라의 문화일까?,Onggi,subject,pottery,Korea,2.0
3808,160301220220805102814.jpg,이미지 속 사람의 아목은 무엇이지?,Human,suborder,Haplorhini,Haplorhini,2.0
3809,120201320220822114713.jpg,이미지 속 동물의 목은 뭐야?,Lion,kingdom,Animal,Carnivora,2.0
3810,150101220220712173310.jpg,이미지 안의 축구를 다른 말로 뭐라고 할까?,Association football,category,Football,football,2.0
3811,150101720220712173352.jpg,영장류에 속하는 사람의 문은 무엇일까?,Human,order,Primate,chordate,2.0
3812,170800420220922175935.jpg,이미지에서 견직물과 관계가 있는 대형 포스터는 무엇이니?,banner,RelatedTo,silk,banner,2.0
3813,120105420220928145226.jpg,이미지 속 딱정벌레목에 해당하는 곤충은 뭐니?,Chrysomeloidea,order,Beetle,leafworm,2.0
3814,132901320220722102358.jpg,파나마모자는 어느 나라의 문화야?,Panama hat,subject,Ecuadorian culture,Ecuador,2.0
3815,122200620220708154218.jpg,거대동물이라고 하는 소는 어디에 속할까?,Cattle,subject,Megafauna,chordate,2.0
3816,120100120220817133849.jpg,개미는 어떤 목의 동물이야?,Ant,kingdom,Animal,felling,2.0
3817,120209520220803111922.jpg,이미지 속 포유류에 속하는 척삭동물은 뭐야?,Bighorn sheep,class,Mammal,bighorn,2.0
3818,111100520220706145019.jpg,이미지 속 카지노에서 쓰이는 게임 도구를 뭐라고 하니?,Casino token,subject,Casino,Casino token,2.0
3819,120210320220922142824.jpg,이미지에서 고양이과에 속하는 동물은 뭐야?,Eurasian lynx,family,Felidae,lynx,2.0
3820,141502720220727110257.jpg,이미지 안 유독식물의 미분류문은 뭐야?,Chelidonium majus,subject,Poisonous plants,ia genus,2.0
3821,120205420220715112730.jpg,이미지 속 주머니고양이목에 속하는 척삭동물은 뭐야?,Tasmanian devil,order,Dasyuromorphia,tasmanian devil,2.0
3822,160700720220922104605.jpg,이미지 속 국제 무역과 관련된 상선은 뭐야?,Container ship,subject,International trade,container ship,2.0
3823,141200620220711111200.jpg,이미지 속 약용식물로 알려진 외떡잎식물은 무엇일까?,Chinese yam,subject,Medicinal plants,mind,2.0
3824,120400120220823152053.jpg,이미지에 있는 동물의 강은 무엇이니?,Turtle,class,Reptile,a reptile,2.0
3825,132301220220824112621.jpg,이미지 안 착용 컴퓨터에 해당하는 것은 뭐야?,Smartwatch,subject,Wearable computer,smartwatch,2.0
3826,132300420220708151523.jpg,이미지에서 영장류에 해당하는 척추동물은 무엇이니?,Human,order,Primate,people,2.0
3827,120210720220913114704.jpg,이미지에서 미국의 상징에 속하는 잡식성 동물은 무엇이지?,Brown bear,subject,symbol of the United States (Alaska),great bear,2.0
3828,130701420220914174027.jpg,이미지 속 깔개는 어디의 상징이니?,Persian carpet,subject,iranian symbol,Iran,2.0
3829,181000120220916115311.jpg,이미지 속 미국의 협곡을 뭐라고 부를까?,Grand Canyon,subject,american canyon,the grand canyon,2.0
3830,120800720220816112853.jpg,이미지 속의 동물은 무슨 상목에 속하니?,Molidae,kingdom,Animal,Acanthopterygii,2.0
3831,120210320220922132355.jpg,이미지에서 식육목에 해당하는 포유류는 뭐지?,Eurasian lynx,order,Carnivora,lynx,2.0
3832,120201020220822181035.jpg,이미지 안 척삭동물의 목은 뭘까?,Hippopotamus,order,Even-toed ungulate,Artiodactyla,2.0
3833,120210320220922105553.jpg,이미지에 있는 포유류의 아과는 무엇일까?,Eurasian lynx,subfamily,Felinae,Felinae,2.0
3834,120200320220823102815.jpg,이미지 속 식육목에 속하는 포유류는 뭐야?,Bear,class,Mammal,bear,2.0
3835,120204520220707165732.jpg,이미지 속 표범은 어느 나라의 상징이야?,Leopard,subject,The_Symbol_of_Democratic_Republic of the Congo,Democratic Republic of the Congo,2.0
3836,110101620220620161805.jpg,이미지 안 트럼펫은 어떤 악기일까?,Trumpet,subject,Brass instrument,brass instrument,2.0
3837,130100920220913163817.jpg,이미지 내 공격용 무기에 해당하는 것은 뭐지?,assault rifle,RelatedTo,assault weapon,assault rifle,2.0
3838,115201020220906163419.jpg,이미지 속 박물관에서 실을 잣는 것과 관계된 것은 무엇이지?,a statue,AtLocation,a museum,reel,2.0
3839,114100220220809133643.jpg,이미지 속 창문을 가리기 위해 사용하는 것은 뭐니?,a curtain,UsedFor,covering a window,curtains,2.0
3840,120202420220624144352.jpg,이미지 안 표범속에 해당하는 대한민국의 상징은 뭐지?,Tiger,subject,Panthera,tiger,2.0
3841,110200520220621172920.jpg,이미지 안의 음식은 어느 나라의 발명품이니?,Pizza,subject,italian invention,italy,2.0
3842,120200520220622173228.jpg,이미지 속 회색늑대의 아종에 해당하는 척삭동물은 무엇일까?,Dog,subject,Subspecies of Canis lupus,dog,2.0
3843,120201920220623145747.jpg,이미지 안에 레서판다는 어떤 동물이니?,Red panda,phylum,Chordate,chordate,2.0
3844,120400620220720151141.jpg,이미지 속 방울뱀은 무엇에 포함되는 동물이지?,Rattlesnake,subject,Venomous snake,pit viper,2.0
3845,122500420220721180551.jpg,이미지 내 설치류에 속하는 동물은 뭐야?,House mouse,order,Rodent,mouse,2.0
3846,120100520220623112754.jpg,이미지 속 곤충은 어떤 문에 해당해?,Harmonia axyridis,class,Insect,arthropod,2.0
3847,115800120220803152622.jpg,이미지 속 영상 기기를 뭐라고 부를까?,Computer monitor,subject,video_device,a computer monitor,2.0
3848,130100220220627155357.jpg,이미지 속 야외 활동에서 사용되는 무기는 무엇이야?,Bow (weapon),subject,Weapon,bows,2.0
3849,120800620220708161038.jpg,이미지 내 장어는 어떤 동물에 포함되니?,Eel,subphylum,Vertebrate,vertebrate,2.0
3850,122600320220901135722.jpg,이미지 속 연체동물에 해당하는 것은 무엇이지?,Nautilus,phylum,Mollusca,nautilidae,2.0
3851,122201320220707162143.jpg,이미지 안 오리는 무슨 동물에 속하니?,Duck,phylum,Chordate,chordate,2.0
3852,141601720220906101307.jpg,이미지에서 속씨식물은 무슨 속에 해당하지?,Sorrel,unclassified_phylum,Flowering plant,Rumex crispus,2.0
